Species	Phylum	Host_class	Host_superorder	Common_name	Biota	Host_order	Host_suborder	Genome_type	Version
Corvus_brachyrhynchos	Vertebrates	Reptiles	Neognathae	American crow	Terrestrial	Passeriformes	NULL	low_coverage	bgi_2011-10-28
Corvus_cornix_cornix	Vertebrates	Reptiles	Neognathae	Hooded crow	Terrestrial	Passeriformes	NULL	low_coverage	932674
Ficedula_albicollis	Vertebrates	Reptiles	Neognathae	Collared flycatcher	Terrestrial	Passeriformes	NULL	low_coverage	FicAlb_1.4
Geospiza_fortis	Vertebrates	Reptiles	Neognathae	Medium ground finch	Terrestrial	Passeriformes	NULL	low_coverage	goldenpath_geoFor1
Manacus_vitellinus	Vertebrates	Reptiles	Neognathae	Golden-collared manakin	Terrestrial	Passeriformes	NULL	low_coverage	28/10/2011
Taeniopygia_guttata	Vertebrates	Reptiles	Neognathae	Zebra finch	Terrestrial	Passeriformes	NULL	low_coverage	goldenpath_taeGut2
Egretta_garzetta	Vertebrates	Reptiles	Neognathae	Little egret	Terrestrial	Pelecaniformes	NULL	low_coverage	bgi_2011-10-28
Nipponia_nippon	Vertebrates	Reptiles	Neognathae	Crested ibis	Terrestrial	Pelecaniformes	NULL	low_coverage	bgi_2011-10-28
Pelecanus_crispus	Vertebrates	Reptiles	Neognathae	Dalmatian pelican	Terrestrial	Pelecaniformes	NULL	low_coverage	bgi_2011-10-28
Phaethon_lepturus	Vertebrates	Reptiles	Neognathae	White-tailed tropicbird	Terrestrial	Phaethontiformes	NULL	low_coverage	bgi_2011-10-28
Phoenicopterus_ruber	Vertebrates	Reptiles	Neognathae	American flamingo	Aquatic	Phoenicopteriformes	NULL	low_coverage	bgi_2011-10-28
Picoides_pubescens	Vertebrates	Reptiles	Neognathae	Downy woodpecker	Terrestrial	Piciformes	NULL	low_coverage	bgi_2011-10-28
Podiceps_cristatus	Vertebrates	Reptiles	Neognathae	Great-crested grebe	Aquatic	Podicipediformes	NULL	low_coverage	bgi_2011-10-28
Fulmarus_glacialis	Vertebrates	Reptiles	Neognathae	Northern fulmar	Terrestrial	Procellariiformes	NULL	low_coverage	bgi_2011-10-28
Melopsittacus_undulatus	Vertebrates	Reptiles	Neognathae	Budgerigar	Terrestrial	Psittaciformes	NULL	low_coverage	goldenpath_melUnd1
Nestor_notabilis	Vertebrates	Reptiles	Neognathae	Kea	Terrestrial	Psittaciformes	NULL	low_coverage	bgi_2011-10-28
Pterocles_gutturalis	Vertebrates	Reptiles	Neognathae	Yellow-thoated sandgrouse	Terrestrial	Pteroclidiformes	NULL	low_coverage	bgi_2011-10-28
Aptenodytes_forsteri	Vertebrates	Reptiles	Neognathae	Emperor penguin	Aquatic	Sphenisciformes	NULL	low_coverage	bgi_2011-10-28
Pygoscelis_adeliae	Vertebrates	Reptiles	Neognathae	Adelie penguin	Aquatic	Sphenisciformes	NULL	low_coverage	bgi_2011-10-28
Tyto_alba	Vertebrates	Reptiles	Neognathae	Barn owl	Terrestrial	Strigiformes	NULL	low_coverage	bgi_2011-10-28
Struthio_camelus	Vertebrates	Reptiles	Paleognathae	Common ostrich	Terrestrial	Struthioniformes	NULL	low_coverage	bgi_2011-10-28
Phalacrocorax_carbo	Vertebrates	Reptiles	Neognathae	Great cormorant	Aquatic	Suliformes	NULL	low_coverage	bgi_2011-10-28
Tinamus_guttatus	Vertebrates	Reptiles	Neognathae	White-throated tinamou	Terrestrial	Tinamiformes	NULL	low_coverage	bgi_2011-10-28
Apaloderma_vittatum	Vertebrates	Reptiles	Neognathae	Bar-tailed trogon	Terrestrial	Trogoniformes	NULL	low_coverage	bgi_2011-10-28
Crocodylus_porosus	Vertebrates	Reptiles	Crocodilia	Saltwater crocodile	Aquatic	Crocodilia	NULL	low_coverage	sub2
Gavialis_gangeticus	Vertebrates	Reptiles	Crocodilia	Gharial	Aquatic	Crocodilia	NULL	low_coverage	ggan_v0.2
Alligator_sinensis	Vertebrates	Reptiles	Crocodilia	Chinese alligator	Aquatic	Crocodilia	NULL	low_coverage	ASM45574v1
Alligator_mississippiensis	Vertebrates	Reptiles	Crocodilia	American alligator	Aquatic	Crocodilia	NULL	low_coverage	goldenpath_allMis1_2012
Oryzias_latipes	Vertebrates	Fish	Actinopterygii	Japanese rice fish	Aquatic	Beloniformes	NULL	complete	medaka1
Astyanax_mexicanus	Vertebrates	Fish	Actinopterygii	Mexican tetra	Aquatic	Characiformes	NULL	complete	ensembl_79_AstMex102
Clupea_harengus	Vertebrates	Fish	Actinopterygii	Atlantic herring	Aquatic	Clupeiformes	NULL	low_coverage	ncbi_7950_2015
Danio_rerio	Vertebrates	Fish	Actinopterygii	Zebrafish	Aquatic	Cypriniformes	NULL	complete	ensembl_79_Zv9
Poecilia_formosa	Vertebrates	Fish	Actinopterygii	Amazon molly	Aquatic	Cyprinodontiformes	NULL	low_coverage	PoeFor_5.1.2
Xiphophorus_maculatus	Vertebrates	Fish	Actinopterygii	Southern platyfish	Aquatic	Cyprinodontiformes	NULL	low_coverage	ncbi_100_2013
Austrofundulus_limnaeus	Vertebrates	Fish	Actinopterygii	Rivuline	Aquatic	Cyprinodontiformes	NULL	low_coverage	1
Gadus_morhua	Vertebrates	Fish	Actinopterygii	Atlantic cod	Aquatic	Gadiformes	NULL	low_coverage	goldenpath_gadMor1_2010_05
Gasterosteus_aculeatus	Vertebrates	Fish	Actinopterygii	Stickleback	Aquatic	Gasterosteiformes	NULL	complete	BROADS1
Lepisosteus_oculatus	Vertebrates	Fish	Actinopterygii	Spotted gar	Aquatic	Lepisosteiformes	NULL	complete	LepOcu1
Notothenia_coriiceps	Vertebrates	Fish	Actinopterygii	Black rockcod	Aquatic	Perciformes	NULL	low_coverage	ncbi_8208_2014
Oreochromis_niloticus	Vertebrates	Fish	Actinopterygii	Nile tilapia	Aquatic	Perciformes	NULL	low_coverage	goldenpath_oreNil2_2011_01
Pundamilia_nyererei	Vertebrates	Fish	Actinopterygii	Cichlid	Aquatic	Perciformes	NULL	low_coverage	PunNye1.0
Larimichthys_crocea	Vertebrates	Fish	Actinopterygii	Large yellow croaker	Aquatic	Perciformes	NULL	low_coverage	NeoBri1.0
Takifugu_rubripes	Vertebrates	Fish	Actinopterygii	Fugu	Aquatic	Tetraodontiformes	NULL	low_coverage	FUGU4
Tetraodon_nigroviridis	Vertebrates	Fish	Actinopterygii	Green spotted puffer	Aquatic	Tetraodontiformes	NULL	complete	TETRAODON8
Callorhinchus_milii	Vertebrates	Fish	Chondrichthyes	Ghost shark	Aquatic	Chimaeriformes	NULL	low_coverage	goldenpath_calMil1_2013-12
Petromyzon_marinus	Vertebrates	Fish	Hyperoartia	Sea lamprey	Aquatic	Petromyzontiformes	NULL	low_coverage	Pmarinus_7.0
Latimeria_chalumnae	Vertebrates	Fish	Sarcopterygii	Coelocanth	Aquatic	Coelacanthiformes	NULL	low_coverage	LatCha1
Anolis_carolinensis	Vertebrates	Reptiles	Squamata	Green anole	Terrestrial	Squamata	NULL	complete	ensembl_79_AnoCar2.0
Gekko_japonicus	Vertebrates	Reptiles	Squamata	Japanese gekko	Terrestrial	Squamata	NULL	low_coverage	V1.1
Thamnophis_sirtalis	Vertebrates	Reptiles	Squamata	Garter snake	Terrestrial	Squamata	NULL	low_coverage	6
Python_bivittatus	Vertebrates	Reptiles	Squamata	Burmese python	Terrestrial	Squamata	NULL	low_coverage	5.0.2
Chelonia_mydas	Vertebrates	Reptiles	Squamata	Green sea turtle	Aquatic	Testudines	NULL	low_coverage	CheMyd_1.0
Chrysemys_picta	Vertebrates	Reptiles	Squamata	Painted turtle	Aquatic	Testudines	NULL	low_coverage	goldenpath_chrPic1_2011
Pelodiscus_sinensis	Vertebrates	Reptiles	Squamata	Chinese softshell turtle	Aquatic	Testudines	NULL	low_coverage	PelSin_1.0
Protobothrops_mucrosquamatus	Vertebrates	Reptiles	Squamata	Viper	Terrestrial	Squamata	NULL	low_coverage	P.Mucros_1.0
